id_eca_14,H3_int_4
North American area 1,595192960107151359
North American area 1,595181346515582975
North American area 1,595192315862056959
North American area 1,594987926958374911
North American area 1,595192350221795327
North American area 1,594802135263084543
North American area 1,595194360266489855
North American area 1,595746813319839743
North American area 1,594801997824131071
North American area 1,594986329230540799
North American area 1,594801044341391359
North American area 1,595192118293561343
North American area 1,595179173262131199
North American area 1,595181415235059711
North American area 1,594987557591187455
North American area 1,595193252164927487
North American area 1,595196619419287551
North American area 1,594992161796128767
North American area 1,594988407994712063
North American area 1,594988648512880639
North American area 1,594987841059028991
North American area 1,594801791665700863
North American area 1,594819478341025791
North American area 1,595179602758860799
North American area 1,594693524130103295
North American area 1,594985513186754559
North American area 1,595182248458715135
North American area 1,594690904200052735
North American area 1,594985676395511807
North American area 1,594690826890641407
North American area 1,594990160341368831
North American area 1,595746753190297599
North American area 1,594988399404777471
North American area 1,595192255732514815
North American area 1,595179697248141311
North American area 1,595194454755770367
North American area 1,594690809710772223
North American area 1,595193243574992895
North American area 1,594988124526870527
North American area 1,595181647163293695
North American area 1,594691539855212543
North American area 1,595194557834985471
North American area 1,595198534974701567
North American area 1,595194446165835775
North American area 1,595198449075355647
North American area 1,595179723017945087
North American area 1,594691651524362239
North American area 1,594691393826324479
North American area 1,595180874069180415
North American area 1,595194403216162815
North American area 1,595179645708533759
North American area 1,595198543564636159
North American area 1,595192839848067071
North American area 1,594802727968571391
North American area 1,594988390814842879
North American area 1,595196670958895103
North American area 1,595179765967618047
North American area 1,594988794541768703
North American area 1,595192771128590335
North American area 1,594802556169879551
North American area 1,594989069419675647
North American area 1,594990125981630463
North American area 1,595194695273938943
North American area 1,594988442354450431
North American area 1,595178889794289663
North American area 1,594988519663861759
North American area 1,594691505495474175
North American area 1,595195416828444671
North American area 1,595179628528664575
North American area 1,594985642035773439
North American area 1,594801851795243007
North American area 1,595197701751046143
North American area 1,595180582011404287
North American area 1,594988631333011455
North American area 1,595181200486694911
North American area 1,595192599329898495
North American area 1,594986741547401215
North American area 1,594802152442953727
North American area 1,594992874760699903
North American area 1,594993390156775423
North American area 1,595192848438001663
North American area 1,594987952728178687
North American area 1,595179826097160191
North American area 1,595197650211438591
North American area 1,595194532065181695
North American area 1,595181836141854719
North American area 1,594986810266877951
North American area 1,594990040082284543
North American area 1,595192908567543807
North American area 1,595192393171468287
North American area 1,594693489770364927
North American area 1,594801972054327295
North American area 1,595182179739238399
North American area 1,594692682316513279
North American area 1,595194136928190463
North American area 1,595198268686729215
North American area 1,594985367157866495
North American area 1,594801714356289535
North American area 1,595182497566818303
North American area 1,594987780929486847
North American area 1,595197839189999615
North American area 1,595179422370234367
North American area 1,595197864959803391
North American area 1,594985684985446399
North American area 1,594985985633157119
North American area 1,595182257048649727
North American area 1,594692347309064191
North American area 1,594985624855904255
North American area 1,594690878430248959
North American area 1,594988450944385023
North American area 1,595194463345704959
North American area 1,594988820311572479
North American area 1,595181277796106239
North American area 1,594804342876274687
North American area 1,595179482499776511
North American area 1,594691118948417535
North American area 1,595198105477971967
North American area 1,595197916499410943
North American area 1,594989095189479423
North American area 1,594992376544493567
North American area 1,595746830499708927
North American area 1,595179061592981503
North American area 1,595180891249049599
North American area 1,594993269897691135
North American area 1,595197950859149311
North American area 1,595179164672196607
North American area 1,595198526384766975
North American area 1,594987987087917055
North American area 1,595198363176009727
North American area 1,594987617720729599
North American area 1,595192642279571455
North American area 1,595182265638584319
North American area 1,595198509204897791
North American area 1,594802427320860671
North American area 1,595182514746687487
North American area 1,594992170386063359
North American area 1,595192625099702271
North American area 1,594690663681884159
North American area 1,594993175408410623
North American area 1,595182214098976767
North American area 1,595195210670014463
North American area 1,594985762294857727
North American area 1,595192066753953791
North American area 1,595198002398756863
North American area 1,594801954874458111
North American area 1,595195030281388031
North American area 1,595192659459440639
North American area 1,594986758727270399
North American area 1,594992900530503679
North American area 1,594987961318113279
North American area 1,595192779718524927
North American area 1,595192272912383999
North American area 1,595179224801738751
North American area 1,595179619938729983
North American area 1,594801920514719743
North American area 1,594992273465278463
North American area 1,594987918368440319
North American area 1,595179534039384063
North American area 1,595180745220161535
North American area 1,594992024357175295
North American area 1,594691969351942143
North American area 1,594992084486717439
North American area 1,594801757305962495
North American area 1,595193020236693503
North American area 1,594987574771056639
North American area 1,594691677294166015
North American area 1,595181741652574207
North American area 1,595178881204355071
North American area 1,595197547132223487
North American area 1,594801886154981375
North American area 1,594692003711680511
North American area 1,595182540516491263
North American area 1,594802710788702207
North American area 1,594804325696405503
North American area 1,594691316516913151
North American area 1,595199900774301695
North American area 1,594690680861753343
North American area 1,594693421050888191
North American area 1,594985753704923135
North American area 1,594992531163316223
North American area 1,594993381566840831
North American area 1,595192865617870847
North American area 1,595197658801373183
North American area 1,594988365045039103
North American area 1,594985779474726911
North American area 1,594985410107539455
North American area 1,595197744700719103
North American area 1,595196902887129087
North American area 1,594986183201652735
North American area 1,594992230515605503
North American area 1,595194394626228223
North American area 1,594694194145001471
North American area 1,595178846844616703
North American area 1,595198122657841151
North American area 1,594690912789987327
North American area 1,594988081577197567
North American area 1,595207820693995519
North American area 1,595197590081896447
North American area 1,594691033049071615
North American area 1,594987849648963583
North American area 1,594992943480176639
North American area 1,595192831258132479
North American area 1,594993132458737663
North American area 1,594993415926579199
North American area 1,595197615851700223
North American area 1,594988133116805119
North American area 1,595198457665290239
North American area 1,595181621393489919
North American area 1,594985616265969663
North American area 1,594992513983447039
North American area 1,594987944138244095
North American area 1,594988313505431551
North American area 1,595181483954536447
North American area 1,595194686684004351
North American area 1,594691239207501823
North American area 1,594986234741260287
North American area 1,595184533381316607
North American area 1,595198320226336767
North American area 1,594820320154615807
North American area 1,594992385134428159
North American area 1,595192410351337471
North American area 1,594987686440206335
North American area 1,594691582804885503
North American area 1,595198466255224831
North American area 1,594992359364624383
North American area 1,595192728178917375
North American area 1,594819332312137727
North American area 1,595181123177283583
North American area 1,595195021691453439
North American area 1,594985470237081599
North American area 1,594991947047763967
North American area 1,595181406645125119
North American area 1,595192135473430527
North American area 1,595192247142580223
North American area 1,594986337820475391
North American area 1,594802693608833023
North American area 1,594987969908047871
North American area 1,594992118846455807
North American area 1,594802057953673215
North American area 1,594988304915496959
North American area 1,595198303046467583
North American area 1,594985934093549567
North American area 1,594693549899907071
North American area 1,595181097407479807
North American area 1,594992857580830719
North American area 1,595195219259949055
North American area 1,594990014312480767
North American area 1,594691325106847743
North American area 1,595181389465255935
North American area 1,595195047461257215
North American area 1,595192607919833087
North American area 1,595179817507225599
North American area 1,595181750242508799
North American area 1,594992806041223167
North American area 1,595192487660748799
North American area 1,595194497705443327
North American area 1,594693438230757375
North American area 1,594992780271419391
North American area 1,594691771783446527
North American area 1,594986243331194879
North American area 1,594988639922946047
North American area 1,595179757377683455
North American area 1,595179413780299775
North American area 1,595181810372050943
North American area 1,594992891940569087
North American area 1,595746856269512703
North American area 1,595194806943088639
North American area 1,594693481180430335
North American area 1,594988803131703295
North American area 1,594691557035081727
