id_port_1,H3_int_8
BRUCE MINES,613183261176233983
HILTON,613183260735832063
DESBARATS,613183260287041535
DESBARATS,613183260234612735
RICHARDS LANDING,613183260050063359
RICHARDS LANDING,613183259985051647
SAULT STE MARIE,613182494616846335
SAULT STE MARIE,613182494625234943
MARINE CITY,613240939200118783
MARINE CITY,613240939101552639
ST CLAIR,613240959995478015
ST CLAIR,613240959993380863
PORT HURON,613240931883155455
PORT HURON,613240931845406719
PORT HURON,613240931885252607
HARBOR BEACH,613183046327205887
PORT HOPE,613183045006000127
PORT HOPE,613183044987125759
BAY CITY,613183026240684031
SAGINAW,613180992502366207
SAGINAW,613180992512851967
ALABASTER,613183053092618239
TAWAS CITY,613183051024826367
AU SABLE,613183055013609471
AU SABLE,613183055009415167
OSCODA,613183055080718335
OSCODA,613183055120564223
ALPENA,613182809418235903
ALPENA,613182808665358335
ROCKPORT,613182813241343999
CALCITE,613183215015821311
ROGERS CITY,613183215009529855
CHEBOYGAN,613183236278845439
MACKINAW CITY,613180434085314559
MACKINAC ISLAND,613183223733682175
MACKINAC ISLAND,613183223721099263
MACKINAC ISLAND,613183223725293567
ST IGNACE,613183223094050815
SAULT STE MARIE,613182494520377343
SAULT STE MARIE,613182494618943487
ST. JAMES HARBOR,613180393348136959
HARBOR SPRINGS,613180432759914495
PETOSKEY,613180432808148991
CHARLEVOIX,613180395728404479
TRAVERSE CITY,613180149021540351
TRAVERSE CITY,613180149644394495
LELAND,613180152184045567
LELAND,613180152211308543
LELAND,613180152202919935
FRANKFORT,613180114403852287
FRANKFORT,613180134123372543
MANISTEE,613180137176825855
LUDINGTON,613181061855182847
LUDINGTON,613181061660147711
WHITE LAKE,613181006226128895
WHITE LAKE,613181006232420351
MUSKEGON,613181014130294783
MUSKEGON,613181013633269759
GRAND HAVEN,613181017104056319
GRAND HAVEN,613181017099862015
HOLLAND,613180612422926335
SAUGATUCK,613180777626075135
SAUGATUCK,613180777663823871
SOUTH HAVEN,613180774155288575
ST JOSEPH,613180740026236927
ST JOSEPH,613180740066082815
MICHIGAN CITY,613164960249282559
GARY,613164925243621375
GARY,613164925231038463
BUFFINGTON,613164930996109311
BUFFINGTON,613164931014983679
INDIANA HARBOR,613164931501522943
INDIANA HARBOR,613164930870280191
CALUMET HARBOR,613164931700752383
CALUMET HARBOR,613164931692363775
CALUMET HARBOR,613164931602186239
CHICAGO,613164976284106751
CHICAGO,613164976292495359
WILMETTE,613164982902718463
GREAT LAKES,613181803917737983
GREAT LAKES,613181803609456639
GREAT LAKES,613181803926126591
WAUKEGAN,613181804435734527
KENOSHA,613181796613357567
KENOSHA,613181796600774655
RACINE,613181800885256191
MILWAUKEE,613182050947563519
PORT WASHINGTON,613182036045201407
SHEBOYGAN,613182076497166335
MANITOWOC,613180280024334335
TWO RIVERS,613180280527650815
KEWAUNEE,613180253545693183
ALGOMA,613180285751656447
STURGEON BAY,613180289855782911
STURGEON BAY,613180289864171519
GREEN BAY,613180270427766783
GREEN BAY,613180270438252543
DEPERE,613180266042621951
KAUKAUNA,613180269488242687
OCONTO,613180307327156223
OCONTO,613180307320864767
MARINETTE,613180070619512831
MENOMINEE,613180071127023615
ESCANABA,613180099702816767
ESCANABA,613180099713302527
GLADSTONE,613180100122247167
GLADSTONE,613180100124344319
NAHMA,613180081690378239
NAHMA,613180081747001343
NAHMA,613180081742807039
MANISTIQUE,613180327443038207
MANISTIQUE,613180327499661311
PORT INLAND,613180440615845887
GOULAIS BAY,613182497307492351
BATCHAWANA BAY,613182482623234047
GARGANTUA,613182274675933183
GARGANTUA,613182274667544575
MICHIPICOTEN,613182263724605439
QUEBEC HARBOUR,613182417028513791
HERON BAY,613182673914953727
THUNDER BAY,613183396796956671
THUNDER BAY,613183396815831039
GRAND MARAIS,613180353527414783
MUNISING,613180320417579007
MUNISING,613180317953425407
MARQUETTE,613180337475813375
MARQUETTE,613180337414995967
MARQUETTE,613180337410801663
PRESQUE ISLE,613180341550579711
L ANSE,613180511088541695
L ANSE,613180511090638847
BARAGA,613180513556889599
BARAGA,613180511151456255
COPPER HARBOR,613183417225314303
COPPER HARBOR,613183417216925695
EAGLE HARBOR,613183432029110271
EAGLE HARBOR,613183432085733375
EAGLE HARBOR,613183432033304575
HOUGHTON,613183594774396927
ONTONAGON,613183550627250175
ASHLAND,613181420910673919
ASHLAND,613181420929548287
WASHBURN,613181420858245119
WASHBURN,613181420864536575
BAYFIELD,613181417580396543
LA POINTE,613181422710030335
CORNUCOPIA,613181423494365183
PORT WING,613181440001048575
SUPERIOR,613181590230532095
DULUTH,613181588951269375
DULUTH,613181588959657983
TWO HARBORS,613176273216208895
GRAND MARAIS,613183479753998335
WASHINGTON HARBOR,613183371314462719
GASPE,613249323225841663
GASPE,613249323227938815
DOUGLASTOWN,613249320499544063
DALHOUSIE,613247432297283583
CARAQUET,613246484111949823
CARAQUET,613246484120338431
CARAQUET,613246484109852671
SHIPPEGAN,613246477784842239
SHIPPEGAN,613246477795327999
GEORGETOWN,613246357274099711
GEORGETOWN,613246357276196863
CHARLOTTETOWN,613246377914269695
SUMMERSIDE,613246051198959615
PICTOU,613246369047511039
PORT HAWKESBURY,613249201760894975
PORT HAWKESBURY,613249201752506367
PORT HAWKESBURY,613249201444225023
PORT HASTINGS,613249201775575039
PORT HASTINGS,613249201737826303
WHYCOCOMAGH,613249176754454527
WHYCOCOMAGH,613249176762843135
GRAND NARROWS,613249176395841535
LITTLE BRAS D OR,613249209551814655
LITTLE BRAS D OR,613249209560203263
NORTH SYDNEY,613249209545523199
SYDNEY,613249210464075775
SYDNEY,613249210459881471
SYDNEY,613249210399064063
LOUISBURG,613249057409728511
GOLDSBORO,613248905485746175
STORMONT,613248905762570239
SONORA,613248900991549439
SONORA,613248900985257983
MUSQUODOBOIT HARBOUR,613246892454707199
HALIFAX,613246861949534207
HALIFAX,613246861951631359
LIVERPOOL (BROOKLYN),613246986486808575
LIVERPOOL (BROOKLYN),613246986495197183
LIVERPOOL (BROOKLYN),613246986499391487
DIGBY,613248011234967551
WINDSOR,613246110189748223
WINDSOR,613246110187651071
WINDSOR,613246111945064447
CANAPORT (ST. JOHN),613247982067777535
CANAPORT (ST. JOHN),613247982076166143
ST JOHN,613247981153419263
PORT BAYSIDE NB,613247963382153215
EASTPORT,613247701303164927
